;node;suppressed in sample;sample size;input size;equivalence classes;average EQ size
0;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
1;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
2;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
3;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
4;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
5;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
6;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
7;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
8;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
9;[4, 0, 1, 1, 4, 1, 3, 1];132;625;40000;39;12,64102564102564
